lat,lon,land use
100.2521773,14.26532164,6
100.2522883,14.26627998,6
100.2522927,14.28082376,8
100.2526056,14.46777406,8
100.252635,14.46970409,8
100.2531505,14.29051205,6
100.2531823,14.46675837,8
100.2533306,14.26373155,6
100.2533813,14.28779455,8
100.2534779,14.46882153,6
100.2536898,14.20527363,6
100.2538947,14.46930377,8
100.2539637,14.47339434,8
100.2539818,14.25499402,8
100.2540716,14.26200432,6
100.2541142,14.45705056,4
100.2541438,14.25601108,6
100.2542385,14.22036989,8
100.2542746,14.21703323,6
100.2543153,14.2570177,4
100.2546616,14.47253798,6
100.2546924,14.21646776,6
100.2549069,14.18735116,8
100.2549146,14.25956779,6
100.2551244,14.47182811,6
100.2551249,14.26539519,8
100.2551562,14.25436378,6
100.2552963,14.46730264,6
100.2554337,14.47063513,8
100.2554685,14.47483597,8
100.2555289,14.2053811,6
100.2555552,14.29715316,6
100.2557983,14.24605149,6
100.2558175,14.26345483,6
100.2558915,14.47035117,6
100.2559222,14.19981959,6
100.2560348,14.18054665,8
100.2560787,14.28740747,8
100.2560891,14.47235544,8
100.2562209,14.29568884,10
100.2562977,14.47098957,8
100.256391,14.47555453,8
100.2563946,14.25870891,6
100.2564342,14.47444346,6
100.2566505,14.46886841,8
100.2566775,14.26093048,6
100.2567177,14.23879137,8
100.2568144,14.45245695,8
100.2569757,14.2979133,6
100.2570017,14.4804745,8
100.2570597,14.2274599,6
100.2571118,14.47700627,8
100.2572721,14.46601202,6
100.2573052,14.30112549,8
100.2573175,14.47186217,8
100.2573686,14.25657338,6
100.2573773,14.27631462,6
100.2574695,14.46980683,8
100.2576503,14.2277995,6
100.2576665,14.45438215,8
100.2576997,14.47778823,6
100.257829,14.46734425,6
100.2578558,14.47420607,6
100.2579276,14.29896783,6
100.2579434,14.46493793,8
100.2579855,14.30065813,6
100.2579882,14.45175915,6
100.2580297,14.45523602,8
100.2581699,14.4766528,8
100.2582424,14.30060115,8
100.2583933,14.24794543,6
100.2584462,14.45301526,8
100.2587239,14.48244686,6
100.2588113,14.30106491,8
100.258853,14.24944785,6
100.2590867,14.46887579,8
100.2592453,14.25952467,6
100.2593425,14.48383457,8
100.2593481,14.47928947,6
100.2593695,14.20198572,6
100.2593821,14.46723935,8
100.259384,14.45341812,6
100.2594751,14.47898581,8
100.2595483,14.2638004,8
100.2596283,14.30445411,8
100.259649,14.20825968,8
100.2597318,14.30095657,8
100.2597729,14.47833186,10
100.2597836,14.2566169,8
100.2599522,14.23730056,6
100.259973,14.44948021,8
100.2600909,14.25548418,6
100.2601026,14.29704339,10
100.2601367,14.21107984,8
100.2601792,14.21008842,6
100.2601936,14.46208744,8
100.2601943,14.23669953,6
100.2601976,14.45449774,8
100.2603059,14.46843951,6
100.2603213,14.45384483,8
100.2604267,14.1756411,8
100.2605263,14.20299471,6
100.2606171,14.47955084,6
100.2607271,14.46744996,8
100.2607723,14.24037142,8
100.2608222,14.46696818,6
100.2608234,14.20903119,6
100.2609546,14.29857893,6
100.2610216,14.30619192,6
100.2613289,14.48119106,10
100.2613356,14.45308466,8
100.2613499,14.47881193,8
100.2614377,14.24914786,8
100.2614628,14.21437058,6
100.2614986,14.17258929,10
100.2616216,14.20560114,6
100.2616244,14.22353646,8
100.2616778,14.25433699,8
100.2616863,14.25310232,8
100.261734,14.47492833,10
100.2619243,14.24987805,8
100.2620097,14.45621067,6
100.2620417,14.21218262,6
100.2620566,14.26144667,6
100.2621046,14.46276942,8
100.2621289,14.30695783,8
100.2621305,14.19147628,8
100.2622293,14.19440808,8
100.2623145,14.46859903,8
100.2623188,14.29839727,8
100.2624395,14.21724576,6
100.2624774,14.29943949,8
100.2625983,14.46895779,8
100.2626972,14.23968999,6
100.262721,14.23729514,8
100.2627541,14.31298381,8
100.2628278,14.30757996,6
100.2628776,14.24707718,4
100.2628799,14.27127282,8
100.2629065,14.46752504,8
100.2629121,14.31664812,6
100.2629439,14.28632311,8
100.2629773,14.25674808,6
100.2630326,14.23916216,6
100.2630709,14.1728593,6
100.2630868,14.25049065,6
100.2632394,14.46203337,8
100.2632721,14.48819667,8
100.2633104,14.24293093,8
100.2633149,14.17832354,8
100.2634699,14.47700089,8
100.2634989,14.30730133,8
100.2635085,14.21962513,6
100.2635946,14.21577183,6
100.2636262,14.301496,6
100.2637733,14.22230299,6
100.2637734,14.4851193,8
100.263798,14.28996455,6
100.2638363,14.46826887,6
100.2640917,14.46651164,8
100.2641467,14.26153269,6
100.2641831,14.4554719,8
100.2642463,14.45848938,8
100.2643659,14.30259255,6
100.2644063,14.46705686,8
100.2646158,14.31520419,8
100.2646188,14.46894515,6
100.2646368,14.47762466,8
100.2646999,14.23495365,8
100.2647562,14.46747677,6
100.2648084,14.26018378,6
100.2648982,14.31666563,6
100.264926,14.19667352,8
100.2649753,14.21870542,6
100.265125,14.30963737,6
100.26514,14.46366871,8
100.2651853,14.2206263,8
100.2652245,14.46139041,6
100.2653499,14.45744616,6
100.2653735,14.26570414,6
100.2653931,14.17404696,6
100.2654166,14.18546242,4
100.2655258,14.22472675,6
100.265622,14.26738536,6
100.2656845,14.47155969,8
100.2657651,14.29338104,6
100.2657968,14.28581093,10
100.2658328,14.28875115,8
100.2658437,14.2653252,6
